,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,sum_deaths,sum_costs
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,5,0,0,3,5,1,6,3,7,0,0,0,6,182478543.38301352,0.0,133015788.11177352,0.004607783608909429,91223155.81153396,0.0,24227584.784522224,0.0,40273672.383724004,0.0,84600000.0,2191.698185133346,0.004607783608909429,471218744.4745673
1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,2,3,0,0,2,2,0,1,1,0,7,0,5,113429024.97505823,0.0,47842699.56310011,0.0,53782446.12142798,0.006812557606283687,27260102.67452445,0.0036795659870940654,90595441.88119246,0.0,199900000.0,0.0,0.010492123593377752,332909715.21530324
2,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,5,0,0,0,0,1,1,7,2,4,2,0,0,4,191280391.41275886,0.016465895391761683,11997925.518092578,0.0019151739935860993,77892499.82878676,0.0,26670945.54240884,0.0,33377116.55719709,0.0,334500000.0,591.273459737828,0.01838106938534778,341218878.8592441
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,3,3,2,0,0,0,1,5,2,6,0,0,2,140166707.11971238,0.0,95464183.00546202,1.4716594210940382e-05,267079926.3581704,0.025453976515353288,35666063.36272972,0.0,27578229.96765524,0.0,0.0,5146.222268298911,0.025468693109564226,565955109.8137298
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,6,0,1,3,7,0,4,5,1,1,2,165682965.44156656,0.0,108500676.11295718,0.019137779227910368,92352223.32290617,0.006778316987556416,23378554.244539738,0.00023893831004157809,104211703.50388835,0.010445914893950728,0.0,0.0,0.036600949419459086,494126122.625858
5,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,3,0,1,7,0,1,0,7,4,0,0,0,0,0,0,1,255296697.39916566,0.006094518231144864,50465386.44312672,0.0006619727374512852,67626108.28683192,0.0,1895698.990783086,5.266276246845486e-05,110731265.50243597,0.004419821338244416,950900000.0,3986.5036328447322,0.011228975069309019,486015156.62234336
6,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,5,8,3,3,2,1,7,0,3,0.0,0.0,47842699.56310011,0.0,110356653.44861886,0.0,24040200.774297733,0.0,82593104.13074732,0.0,486700000.0,0.0,0.0,264832657.91676402
7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,6,3,0,0,0,0,0,1,0,82177854.37813279,0.0,125708999.91881451,0.05594818279759522,61001668.01785916,0.0,2866340.311092476,0.0006326118749075593,25037214.086173728,0.0,589200000.0,0.0,0.05658079467250278,296792076.7120727
8,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,3,7,0,0,0,3,0,0,6,6,5,1,0,2,254964903.63354528,0.045738598310449116,11997925.518092578,0.0053199277599613876,24198032.45136138,0.0,44549801.360820435,0.0,53557815.768892445,0.0,590600000.0,0.0,0.051058526070410504,389268478.7327121
9,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,3,7,0,0,0,0,0,0,9,7,6,1,1,1,117657018.40774402,0.0,12082707.165053718,0.0019421499721646437,0.0,0.0,58988229.06026708,0.0,77707505.98041888,0.0,675200000.0,151.18955719086458,0.0019421499721646437,266435460.61348373
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,0,0,7,0,0,7,4,6,1,3,1,85246019.34861892,0.0,53358573.6002109,0.0,34221561.73832255,0.0,44742206.00051556,0.0,180141378.44372177,0.04144976400911897,0.0,0.0,0.04144976400911897,397709739.13138974
11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,7,7,3,0,0,0,0,4,7,0,3,199655866.49917647,0.05583670554196529,170109431.06778714,0.0018075730454911215,24198032.45136138,0.0,23813221.672620364,0.0034961396689581663,82593104.13074732,0.0,61400000.0,0.0,0.061140418256414586,500369655.82169265
12,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,6,0,4,6,0,1,2,2,2,1,4,0.0,0.0,107727074.33307743,0.006643454501176904,62318902.73577461,0.0,22013110.966710176,0.0,91272705.03772748,0.0,236500000.0,522.8872683423461,0.006643454501176904,283331793.0732897
13,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,7,3,0,0,0.0,0.0,136485335.0949704,0.044162545927128975,59654928.19840717,0.01574558764802221,24227584.784522224,0.0,30351526.042379983,0.0,205800000.0,0.0,0.059908133575151186,250719374.1202798
14,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7,7,6,0,0,0,0,0,0,0,4,2,6,0,0,251532079.62498075,0.0,124051281.81907222,0.054483027911459314,30641168.6273275,0.02567679451598321,29631179.03409963,0.0028623955286579475,40273672.383724004,0.0,61400000.0,0.0,0.08302221795610046,476129381.48920417
15,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,4,0,4,0,0,0,5,0,0,0,0,1,0,2,0,102578836.07266891,0.0,40250597.74733481,0.01789376045480945,28798397.130608946,0.0,27444867.57459168,0.004998880233984355,41903515.09790924,0.006133332585940428,267200000.0,0.0,0.029025973274734232,240976213.6231136
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,1,7,0,6,0,0,1,4,5,6,1,0,254964903.63354528,0.005488631797253894,118209775.13120337,0.00022813800653318162,31398797.71871161,0.0,29440944.05553699,0.0,70903162.7249229,0.0,0.0,1015.2728939457979,0.005716769803787075,504917583.2639201
