,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,sum_deaths,sum_costs
0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,4,4,7,3,1,7,3,2,6,1,4,0,2,0,7,6,186991155.56034988,0.0,189385932.81814665,0.0006955758360975856,82308580.90047325,0.0,18081997.288140487,0.0,138092701.4658232,0.0022121120535495745,787400000.0,1890.5439269405063,0.00290768788964716,614860368.0329335
1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3,0,9,8,5,4,0,2,7,7,9,9,8,7,42291505.65437629,0.0,305147729.6594586,0.0,51760044.33566119,0.0,61346985.9460107,0.0,196930117.12676758,0.0,589200000.0,0.0,0.0,657476382.7222743
2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,7,2,4,0,3,1,8,4,0,10,9,4,2,4,5,180016033.32081586,0.0,125032878.21626262,0.015782683731902822,71831046.38693634,0.0,64131415.295668796,0.0,108144094.08165935,0.0,595100000.0,0.0,0.015782683731902822,549155467.301343
3,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,4,6,1,4,1,6,3,0,8,6,3,2,5,0,5,10,161250294.9980649,0.0,179897084.27107456,0.0007059964599231681,102462179.37159684,0.002462248803199091,29656749.941971824,0.0,107504292.22396694,0.00010280712063642047,273100000.0,1044.9511703778596,0.0032710523837586793,580770600.8066751
4,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,4,10,4,2,4,3,4,0,9,9,6,8,9,0,0,233223561.90757343,0.0,159621441.10360894,0.0002009734693489354,72854053.84616798,0.0,61840409.117942214,0.0,53114002.716882035,0.0,825700000.0,14.935500288126846,0.0002009734693489354,580653468.6921746
5,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,2,0,2,4,6,7,9,2,4,3,2,8,6,1,71223146.50296113,0.0,183872270.21119425,0.0014684235314085558,123547522.59256081,0.0,28640895.65434783,0.0,141232934.41156512,0.0,1037400000.0,0.0,0.0014684235314085558,548516769.3726292
6,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,3,6,10,1,0,0,1,3,8,7,10,1,2,2,145883058.26646656,0.0,153043288.8271728,0.0,68969539.18716884,0.007137501597496286,68511562.29584858,0.0,84060866.18310496,0.0,606200000.0,244.93588199184575,0.007137501597496286,520468314.7597618
7,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,2,4,0,4,5,0,0,7,7,5,2,6,4,7,7,10,102578836.07266891,0.0,59410102.93073928,0.0,123613076.33425403,0.0,33478544.815998152,0.0,193224964.59681654,0.0,1482300000.0,0.0,0.0,512305524.7504769
8,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,9,8,8,0,5,0,1,4,0,7,9,1,3,5,8,323583998.29585165,0.0,72067636.71669954,0.0020658862606415932,47604893.24040605,0.0,48037384.752243474,0.0,134327550.9175649,0.0,1810100000.0,157.64606415647404,0.0020658862606415932,625621463.9227656
9,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,2,2,10,0,1,8,10,9,1,1,1,2,10,10,3,185888538.1074085,0.0,147614919.316624,0.0041317725212831865,139476515.2745092,0.0,21226595.157682188,4.6934820163776095e-05,199018285.1620927,0.0,388400000.0,323.62947824500884,0.004178707341446963,693224853.0183165
10,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,7,7,0,2,2,0,1,8,6,0,1,5,2,1,9,154345864.93625224,0.0,101598151.06124751,0.002170092498897415,125766468.89919162,0.0075680153638525375,18043384.2995819,2.1885860130001862e-05,113102794.72276282,0.0,1179900000.0,411.49312413240233,0.009759993722879954,512856663.9190361
11,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,6,4,2,2,3,0,4,2,3,4,5,1,7,6,7,171385169.65261877,0.0,106873418.10779887,0.005941196187279633,81362914.63480873,0.0,30908902.6371819,0.0,163546580.1863483,0.0,1051100000.0,0.0,0.005941196187279633,554076985.2187566
12,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,9,5,6,1,2,0,0,5,6,10,6,8,7,0,3,255480900.94433552,0.0,95249714.37396258,0.0057964653008132135,89627427.84417437,0.019889333935494982,65573808.29715143,0.0,82593104.13074732,0.0,1168700000.0,0.0,0.025685799236308197,588524955.5903713
13,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,10,5,8,4,1,0,3,8,7,9,1,3,5,3,2,296933286.35729927,0.0,97105266.60422453,0.0,114961276.24318698,0.0,38525953.30603957,0.0,108663782.25626409,0.0,1390100000.0,0.0,0.0,656189564.7670144
14,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,3,7,8,2,0,0,1,5,8,1,5,3,3,0,4,0,226339324.62010977,0.0,76217723.30964482,0.002065886260641593,104322384.80529279,0.0,32129000.278980844,0.0,33377116.55719709,0.0,908600000.0,975.4350219681834,0.002065886260641593,472385549.5712253
15,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,5,6,6,3,8,0,0,4,7,7,1,1,3,5,162790738.81847763,0.0,234550536.55137444,0.0,26403379.542306438,0.0,42422238.37366619,0.0,105053527.95919287,0.002900665709229603,893000000.0,0.0,0.002900665709229603,571220421.2450175
16,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,4,3,4,0,3,7,1,0,4,5,1,2,2,1,0,8,95213987.28559849,0.0,182451541.5219873,0.0,59344433.82549998,0.0,25443642.8094026,0.00010219284800842702,134689466.4489514,0.0031260608434399745,1161100000.0,2189.8069623544698,0.0032282536914484015,497143071.8914397
17,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,2,4,2,0,2,6,6,8,6,1,5,10,4,6,0,0,90462322.17815001,0.0,212852290.83388752,0.0009042052078739231,110858755.1657072,0.0,51230893.479081534,0.0,40273672.383724004,0.0,885500000.0,266.50947949954974,0.0009042052078739231,505677934.04055023
18,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,4,7,9,3,3,0,1,7,7,0,6,0,3,1,4,8,248410761.78812402,0.0,90143923.5488522,0.0,77517373.55736606,0.0,22928006.72310114,0.0,123559367.01717979,0.0003480798851075524,1041800000.0,232.2933014980855,0.0003480798851075524,562559432.6346233
19,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,4,1,1,6,5,5,8,1,1,3,4,0,4,2,85246019.34861892,0.0,184818770.8920935,0.0005028021087192629,104322384.80529279,0.0,26152919.996159017,0.0,64922482.303728715,0.0,965600000.0,38.81969286041934,0.0005028021087192629,465462577.3458929
20,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,5,1,0,1,6,4,5,4,2,6,6,4,66507014.9338145,0.0,104651657.86617124,0.0,110188932.8563528,0.007341429171033457,32458628.27203027,0.0,139495213.52017933,0.0,1087700000.0,245.54902422961422,0.007341429171033457,453301447.4485482
21,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,2,9,6,0,3,1,4,6,3,2,1,5,7,6,5,10,167421100.05585465,0.0,151178142.27521777,0.0,90996995.1258429,0.0,39059297.575732686,0.00015378759208339857,169333032.78031355,0.0,538900000.0,94.62853667916465,0.00015378759208339857,617988567.8129616
22,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,3,4,4,2,2,0,5,1,9,1,8,8,4,10,3,4,151323299.4520034,0.0,108759365.71363117,0.0001326860925401193,90701570.38277784,0.0,53782858.46748917,0.0,152308017.8542743,0.0,1041800000.0,61.386759852685195,0.0001326860925401193,556875111.870176
23,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,2,6,6,2,3,4,2,0,0,0,3,7,5,2,138379858.76624286,0.0,181024453.14671123,0.0,51760044.33566119,0.0,9972622.472702825,0.00012457427098292492,131869191.36615518,0.0,1208900000.0,25.522904484556097,0.00012457427098292492,513006170.0874733
24,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,2,1,2,5,9,1,2,3,0,0,1,7,6,4,1,5,130919728.8845366,0.0,201659050.98047903,0.0,24198032.45136138,0.0,41133895.99018423,0.0001381596728396798,105402123.21439943,0.0,575500000.0,91.71261004925276,0.0001381596728396798,503312831.5209607
25,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,7,1,0,1,9,4,4,4,2,0,7,10,9,7,9,109503342.08350585,0.0,219029506.52335474,0.0060859270737460515,85609120.14060155,0.0,47908626.77921832,0.0018734694120742246,203837860.00741637,0.0,423600000.0,0.0,0.007959396485820277,665888455.5340968
26,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,5,5,5,7,6,1,1,0,9,2,6,7,3,3,154539421.81426284,0.0,244981143.34573078,0.0,43528272.04294249,0.0006825650153521711,46279698.89362045,0.0,125065178.98441488,0.0,1215000000.0,22.90084427446827,0.0006825650153521711,614393715.0809714
27,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,2,7,1,7,5,0,5,7,8,6,1,3,0,1,7,3,198655966.29970902,0.0,129688488.72986558,0.0,133368518.33047336,0.0,15935518.121881615,3.3054952011998015e-05,114469587.85065019,0.0002611456927373307,1080100000.0,119.17279209756913,0.00029420064474932874,592118079.3325797
28,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,6,7,0,6,1,1,6,7,1,6,0,3,66507014.9338145,0.0,155736187.608082,0.0,81913987.91937247,0.0,39816568.41869327,0.0,77404471.7832109,0.0,1153600000.0,0.0,0.0,421378230.6631731
29,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,4,0,2,1,3,10,6,1,4,6,1,8,2,1,3,3,72222705.9376919,0.0,260144380.8737554,0.0,86987548.24174792,0.00022822629763265089,36512895.573141225,0.00011131299061215897,93600700.38513398,0.00012792590474526214,874300000.0,273.9443576001502,0.00046746519299007203,549468231.0114704
30,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,3,1,5,5,5,0,1,0,6,3,7,8,3,6,3,4,154539421.81426284,0.0,104651657.86617124,0.0,61001668.01785916,0.0,48635211.471941546,0.0,122567126.94737372,0.0,1328600000.0,0.0,0.0,491395086.1176084
31,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,3,0,8,6,1,3,8,0,3,4,1,0,6,0,3,4,155741221.70579833,0.0,193283868.7194888,0.0006816816709968099,55610981.74085459,0.0002225892908438999,19654163.95844144,9.371339062329381e-06,67268466.33257627,0.0,898900000.0,381.45277075085033,0.0009136423009030392,491558702.45715946
32,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,3,6,1,7,1,6,0,0,3,6,6,3,1,7,4,4,186921762.1676117,0.0,119270077.93733306,0.0006955758360975856,82735761.03312883,0.0024093786915413053,31480696.535529993,0.0,134722847.9591729,0.0,569600000.0,832.078076659187,0.003104954527638891,555131145.6327765
33,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,3,0,4,3,0,2,10,4,2,9,5,4,0,1,2,95213987.28559849,0.0,95202239.80249318,0.0,116644870.33441648,0.0,48639723.720887154,0.0,85512523.92822559,0.004980121712043653,1172300000.0,463.60074498197173,0.004980121712043653,441213345.0716209
34,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,3,7,8,8,3,0,3,3,8,1,7,3,7,4,6,1,290969813.71654385,0.0,100759376.17493644,0.0,94813578.78887096,0.0,44913465.97050338,0.0,114479718.26030803,0.0,920600000.0,0.0,0.0,645935952.9111626
35,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,8,10,1,10,2,0,2,7,3,9,1,3,2,111601194.33864394,0.0,297072028.33071023,0.0,50440170.06698472,0.003932953032786395,50346299.58309312,0.0,117412656.43646389,0.012873769304827948,710400000.0,0.0,0.016806722337614342,626872348.7558959
36,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,4,7,5,2,5,6,2,0,5,3,1,0,0,5,4,2,192179322.23964384,0.0,199502185.3342409,0.0,81436512.80062716,0.0024471430570111525,6962153.3535512015,1.9131469188116165e-05,113475857.01150982,0.0,1607900000.0,615.1507992471895,0.0024662745261992687,593556030.739573
37,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,2,0,1,0,6,1,4,7,3,3,1,4,2,7,1,5,32694901.094161935,0.0,180339828.74769464,0.0,98697238.57785755,0.0,25337490.527530942,1.1714173827911727e-05,123857161.70984554,0.0,1232000000.0,8.336840705773053,1.1714173827911727e-05,460926620.65709066
38,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,4,4,0,3,6,1,1,8,5,0,1,2,2,1,8,102578836.07266891,0.0,173879117.17927334,0.0005852642278964392,122452319.36292066,0.021336967945172428,20208549.431247152,0.0015247884689650092,107959304.12850642,0.0,935800000.0,0.0,0.023447020642033876,527078126.1746165
39,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,1,4,1,6,3,1,6,6,4,2,5,0,5,6,141847108.73659444,0.0,180126337.99523738,0.0007303112488495263,113289436.45343709,0.0021598363955003187,31623073.954505272,0.0,121014643.82170495,0.001887832875269759,205800000.0,2180.5844416246186,0.004777980519619604,587900600.9614791
